,topic0,topic1,topic2,topic3,topic4,topic5,topic6,project,date
sinatra-tags_2014-06,0.1433196266703986,0.14327245672333433,0.1433492791323034,0.14333094807014363,0.1434152012831947,0.14335086073435999,4881.139961626895,sinatra,2014-06
sinatra-tags_2012-01,0.14329039633982904,0.14326518368035593,0.1434627365487151,0.143320648967535,0.14337953438671852,0.14337334441113575,4246.139908155254,sinatra,2012-01
sinatra-tags_2016-01,0.1433169537662864,0.1432818644315543,0.14337351332926854,0.14334134549144872,0.14340128964591445,0.14337332528932764,4919.13991170754,sinatra,2016-01
sinatra-tags_2013-06,0.14332154385330856,0.14327637216156183,0.14336611351525566,0.1433371990325317,0.14345251553440294,0.14336382608400658,4779.1398824293265,sinatra,2013-06
sinatra-tags_2014-01,0.1433206692870121,0.1432736655116445,0.1433497970835113,0.14333135494821292,0.14343182993521594,0.143352085821913,4859.139940596921,sinatra,2014-01
sinatra-tags_2010-06,0.14330874968909835,0.14321793673040875,0.14330261265176125,0.14340800090103517,0.14326538651166262,0.14327230300614827,3104.140225010226,sinatra,2010-06
sinatra-tags_2009-06,0.14331328856666342,0.14324503182445272,0.1433154929130466,0.14342164655889644,0.14391033479584386,0.14336401687440176,2990.1394301881464,sinatra,2009-06
sinatra-tags_2009-01,0.1432455667926898,0.14319373158768645,0.14320166990212818,0.14332311361873842,0.14324497190605112,0.14334888926273806,2273.140442056739,sinatra,2009-01
sinatra-tags_2011-06,0.1432761136595735,0.1432158262819878,0.1433094074437011,0.143357923707828,0.14327897471921472,0.14328088416945228,3893.1402808696866,sinatra,2011-06
sinatra-tags_2012-06,0.14329762932263407,0.14328664210282527,0.14349122717474014,0.14341741384587603,0.1433850506856179,0.1433910780270593,4485.139730958395,sinatra,2012-06
sinatra-tags_2008-01,0.1433238332169229,0.14331996389899157,0.14348005056868962,0.14341132015309022,0.14339110012908626,0.14335408604351585,5099.13971964545,sinatra,2008-01
sinatra-tags_2008-06,49.57674726713277,43.9408567653713,44.68150269213569,81.76601127104561,39.88676877985577,0.14343103926479747,6861.004682183837,sinatra,2008-06
sinatra-tags_2015-01,0.14332388779251365,0.14328722070319128,0.1433733185783048,0.14333908166385492,0.14341372249294454,0.1433735320121495,4916.139889236251,sinatra,2015-01
sinatra-tags_2015-06,0.14331705865152364,0.14328196827021752,0.14337620934656922,0.1433414543173284,0.143484036764744,0.14337331962458733,4915.139825952518,sinatra,2015-06
sinatra-tags_2010-01,0.14330313351161159,0.14319289286568956,0.14328377288656968,0.14336403110654033,0.14324777599722094,0.1433856245789566,2987.14022276879,sinatra,2010-01
sinatra-tags_2011-01,0.14330279898590012,0.14334567434784007,0.14338433065998116,0.14347757499886682,0.14336127907567847,0.14359177027681103,3658.139536571184,sinatra,2011-01
sinatra-tags_2013-01,0.1432989049186433,0.14328292426998315,0.14346430609213104,0.14341754122773345,0.14338811005111246,0.14340179615317422,4554.1397464168385,sinatra,2013-01
laravel-tags_2014-06,280.18067875988936,13.22107556062713,77.02413544363604,0.14351978231922843,0.14347975900292737,0.1435407281804899,0.14356996627241475,laravel,2014-06
laravel-tags_2012-01,183.0246313225018,0.14344210662705106,53.148113697478436,0.143447949093099,59.25350925575763,0.14347950001906443,0.1433761684694041,laravel,2012-01
laravel-tags_2016-01,190.13003577764306,0.1434344894392177,75.2816843095841,0.14339367247679252,61.01448017508437,0.143543864388124,0.14342771132422355,laravel,2016-01
laravel-tags_2013-06,283.03112002163,12.891876540998977,78.5029092477907,0.14351229543859534,0.14347967736635606,0.14353646336204962,0.14356575333950486,laravel,2013-06
laravel-tags_2014-01,280.18067875988936,13.22107556062713,77.02413544363604,0.14351978231922843,0.14347975900292737,0.1435407281804899,0.14356996627241475,laravel,2014-01
laravel-tags_2012-06,183.0246313225018,0.14344210662705106,53.148113697478436,0.143447949093099,59.25350925575763,0.14347950001906443,0.1433761684694041,laravel,2012-06
laravel-tags_2015-01,198.1419372567712,0.14342537302504324,74.42710927505988,0.14339037284844142,58.857169574078405,0.14353355827041622,0.14343458988642946,laravel,2015-01
laravel-tags_2015-06,190.13003577764306,0.1434344894392177,75.2816843095841,0.14339367247679252,61.01448017508437,0.143543864388124,0.14342771132422355,laravel,2015-06
laravel-tags_2013-01,183.66640428492184,0.14344028892715327,53.74730223860013,0.14344581611373874,59.01252906355243,0.1435038416384292,0.14337446619257652,laravel,2013-01
meteor-tags_2016-01,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,meteor,2016-01
