index,topic0,topic1,topic2,topic3,topic4,topic5,project,date
cakephp,0.16813112533409533,0.1683555946528351,69795.61953857253,186305.70795699768,0.1678977372527481,0.1681198930995175,cakephp,2016-01
cesium,517740.683878933,6122.566124073373,5561.307377608349,141796.46583786712,0.16832913526517124,1644.808452087462,cesium,2016-01
chartist-js,16612.88141398124,0.16823823426328063,254.02652455006742,646.3345795998939,0.16817249752489705,426.4210711268001,chartist,2016-01
chroma.js,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,chroma.js,2016-01
clumsy-bird,6837.74555183731,3122.9158278614427,0.16854887747072725,45.99249198558669,136.04024628254265,60.13733315060064,clumsy,2016-01
cocos2d-x,49937.6179370531,907525.7218583713,0.17061978660861082,0.16836604492256732,5313.153206073783,0.1680123898308891,cocos2d,2016-01
codebox,3.791540784454906,224.32615732767118,390.81812389533985,3088.910515635477,2.8166854723677193,178.3369768828086,codebox,2016-01
convnetjs,6666.636909378112,25.522315306777145,0.1685414815786033,2862.3211318131403,0.1685499316245206,3584.182552081488,convnetjs,2016-01
d3,49237.57078456181,0.16990660293743762,39.53767500794863,6240.001326417181,0.1674298015929195,304.55287758378347,d3,2016-01
datumbox-framework,0.16885220677275947,0.16831006649764263,25095.339137362662,34.1301575404422,8.503438628585876,39882.69010416061,datumbox,2016-01
dc.js,83243.88767320842,0.1685266563173447,214.35221090247632,1492.0370180939876,8.77630053835047,117.7782705613504,dc.js,2016-01
derby,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,derby,2016-01
dimple,256071.50086403944,0.16748293114772536,0.16784403659428995,0.1676405052799242,1217.8282619518732,0.16790648267624644,dimple,2016-01
django,1708.4908918083995,0.16828425008500994,26471.265695463502,392197.616936669,0.16783732375557528,6977.290354323765,django,2016-01
duality,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,duality,2016-01
echarts,233466.64106911808,1453.905973284808,686.8203549527975,3259.7582706714543,642.3885988753475,788.4857329935359,echarts,2016-01
envisionjs,128293.87922843808,17.718332207589665,0.16855047474634904,18207.90322462775,323.16259657522676,0.16806760896533915,envisionjs,2016-01
epoch,4351.597549550164,0.16801744814924488,0.1676458915684513,60.62854455104233,182.8411805232563,684.5970620332171,epoch,2016-01
express,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,express,2016-01
flask,0.1679044365458541,0.16832849891985202,3291.305836544863,10967.020286408317,0.1693597419077314,0.16828436236616628,flask,2016-01
frappe,0.16833122267196932,9.183982152792916,5930.763646167641,59047.59306296879,12.122940180047259,0.16803728402220922,frappe,2016-01
godot,0.16828582608594492,487853.6125668625,45.26876517787064,26765.25871470921,2424.757310696767,55276.93435644457,godot,2016-01
golearn,4830.843756277275,661.8716490707699,0.16856085568329052,560.4278448697311,0.16951914665110196,9476.518669773654,golearn,2016-01
h2o-2,443.9939942862714,8813.273294809149,21716.759342545738,36625.43699664371,0.16861678408664085,103692.36775484415,h2o,2016-01
hextris,4366.956101845223,40.87262361027103,0.16817532411370273,2233.1536926964714,36.516927923258336,143.33247859727243,hextris,2016-01
jmonkeyengine,39278.82691317566,376949.35442496446,30448.636523465633,0.16826280135058144,275.62793604200414,6929.385939364954,jmonkeyengine,2016-01
jubatus,0.16813579368507764,2760.8618014644712,6325.739408438423,2223.6039700799147,0.1670478878548236,8612.459636328269,jubatus,2016-01
