index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,project,date
HLearn,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,HLearn,2016-01
KomodoEdit,0.05000000116699863,16481.348213920082,0.7850280510352803,59474.127321787244,1224.1975033937554,0.0500000011731557,300.212932082734,8122.4679818001505,26606.421870670954,2447.594585534436,381.5006190246394,17502.111666050427,14667.37274004346,0.0500000011961293,348692.36535064643,0.05000000000007885,0.36870693119830733,221.05019824505126,0.05000000108068949,2836.825281590914,KomodoEdit,2016-01
Leaflet,20228.45323628422,109.63451707322038,20.74101409111811,0.0500000011335074,337.60656305610803,6335.233834059933,0.05000000124147836,190.63083540439982,0.050000001193349984,0.050000001243035705,0.05000000118892085,0.0500000009480811,0.050000001256417265,0.05000000125398359,0.05000000125405697,0.05000000000000458,0.050000001277452945,0.05000000063634872,0.0500000012394404,0.050000001222002495,Leaflet,2016-01
LightTable,0.05000000118551297,0.05000000098184592,12.489444865975033,23.874174070596208,39.965975515228514,0.05000000115633935,0.050000000744898375,0.05000000111227126,56.67017738265473,0.05000000113043494,0.050000001668517736,0.05000000132196565,0.05000000142799375,0.050000000926915214,27.063607755354386,0.05000000000000006,5.6446515313522125,0.05000000028091782,0.05000000118755168,38.64196886560781,LightTable,2016-01
MLPNeuralNet,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MLPNeuralNet,2016-01
ML_for_Hackers,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,ML,2016-01
MonoGame,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MonoGame,2016-01
OpenRA,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,OpenRA,2016-01
PredictionIO,0.05000000100015906,0.05000000097222975,0.05000000114939834,0.050000000853597286,0.05000000113628434,460.9550431999023,0.05000000086706627,17660.598400374896,0.05000000095650352,325.78289583527356,7.5601230069048455,0.05000000078286853,25230.002644601067,0.05000000083140166,0.050000001112559485,0.05000000000000101,8633.788368179014,0.05000000066380661,0.050000001187450197,1832.6625247743964,PredictionIO,2016-01
Starling-Framework,1945.9531217898339,0.050000001140607916,21708.486359131934,952.1530021269423,0.05000000118470819,6006.73804600635,1064.6392041302058,539.2542455707422,0.050000001125422376,3815.393940373011,6973.521581802684,0.05000000106569078,99.54271969011535,1194.5120073108546,27.90760280513897,0.05000000000010726,341.73327913003544,229.17178899084453,2450.6931011123133,0.05000000111390905,Starling,2016-01
Theano,0.05000000116996759,660.6629968543423,0.05000000116169851,0.050000001116079135,0.05000000115387373,0.0500000010990685,6364.820296000283,0.05000000096917837,0.050000001072363284,0.05000000094246344,0.050000001202158965,0.05000000101042008,0.05000000109187086,0.05000000091422004,138999.35867686974,0.05000000000002842,51204.35803017419,0.05000000047135039,0.050000001210325495,0.05000000101421667,Theano,2016-01
Torque2D,0.050000001016081236,5126.540933990455,9711.3810493391,368.60069587641743,30664.629656881396,0.05000000107068166,0.050000001129172474,84.14213206027456,178.69291248543652,7.045802568348592,444.47101543543585,0.05000000120549855,266.22911271579443,3136.7655828693983,3813.01411184422,0.05000000000005646,62.2353530312097,0.05000000127764554,0.050000000878695286,3698.9016408721336,Torque2D,2016-01
Torque3D,109.26326817286296,955.2812011642947,2353.749854116676,132.24016592007072,980866.8543476451,258.44211683691805,213.75912582088122,0.050000001220523914,197.08349939160476,3.766440377757224,2095.6451442229672,0.05000000120906809,185.90188624676472,229.76794965288056,172.01980877465465,0.05000000000007631,5.642799120730218,3.9286993032669892,0.050000001252411816,45.45369279461479,Torque3D,2016-01
adarkroom,6024.846323076473,0.05000000098986503,0.05000000120202946,14.613465331644981,500.18239447781906,0.05000000117117488,0.050000001096031324,0.050000000631313046,80.13137910252065,0.05000000093845477,413.6755420678934,0.05000000100216133,19383.850895916832,0.050000000961307994,0.05000000097328462,0.050000000000075456,0.05000000068330952,0.050000001254264424,0.05000000101347661,0.05000000117379593,adarkroom,2016-01
arbor,6459.176514156317,279.62034463288967,1165.9165768040486,55.586249826077236,134.68312976964674,64.30856936202629,13.84830757627665,0.050000000916478514,518.9589798034461,0.05000000137910747,0.050000001171828026,0.050000001065020595,65.4107104256894,0.05000000099541856,157.4878055776987,0.05000000000010135,17.161194291888325,228.819995765013,28.62217062040327,17.099451377838257,arbor,2016-01
atom,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,atom,2016-01
brackets,460.3925021115932,265.2124623842125,6.059292382743479,840.6229892977101,51.520224871715406,81.70617574503143,0.05000000127797034,1079.727502902247,708709.2813857934,373.36568231560807,17.558439059766496,1573.2993500370208,40.87669110359282,34.93296952534961,302.7268695455574,0.05000000000007959,0.05000000126307848,0.050000001278769635,0.05000000120829462,670.467462608918,brackets,2016-01
brain,78.59775554070107,0.05000000122981047,0.05000000066222236,0.05000000118757127,0.05000000144182032,0.05000000105903806,0.050000001010206366,0.050000000900342255,115.72440780135376,209.8088030380585,16.135203548423476,0.05000000108041474,195.9011840884543,0.05000000064649074,0.05000000130535579,0.05000000000003727,757.7204529321539,25.46219303789948,0.05000000078519691,0.0500000010801519,brain,2016-01
caffe,1662.728034639793,3935.2775053367673,0.05000000113501078,0.05000000112829969,48.83200770173098,1750.7709848348197,1709.028001027478,0.05000000084753093,0.05000000104206897,24146.24318421615,5040.383274493591,0.05000000108224729,0.050000001007738,0.05000000118895706,295.07182039312244,0.05000000000004237,28637.33500987025,0.05000000065070354,441.83017745109896,0.05000000101998771,caffe,2016-01
cakephp,0.05000000099601958,0.050000001196396915,0.05000000100406085,0.050000001164701956,0.0500000010908901,0.05000000116497773,0.050000000866671473,42230.182278371256,6.087098077186099,33113.84840471137,0.050000001014273605,34.91197654613189,0.050000001159464826,0.050000000953388704,13948.22832726547,0.05000000000004407,0.05000000101267795,0.05000000087984091,0.05000000089712545,166768.0419149314,cakephp,2016-01
cesium,1112.877901870363,297.36186555047556,439.05685353885696,592.998904340231,342.6436235736508,662190.3787256336,92.5959409565135,444.29002903594113,4061.925236778824,396.461425190879,519.9437536308741,1151.9797780232684,40.207747388478055,14.295131197636266,431.36261499366043,0.05000000000007648,2.9313232354677057,240.89644944151496,0.05000000118714159,493.69269532467416,cesium,2016-01
