index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,project,date
Decider,107.50652400385803,0.06666670527529378,573.1929349509204,0.06666688398539818,0.0666668137151731,2414.614605620771,499.80853175463557,0.06666684055421093,0.06666681276190697,385.37947038944554,1255.8979319765742,0.06666678136379883,0.06666679758034033,0.06666683104267565,0.0666668325481461,Decider,2016-01
GD,0.06666685678055725,4932918.550313729,0.06666685233957803,68.61948411506103,61.44439106801644,0.06666684928626267,0.06667382360791858,0.06666685083290418,0.06666685350631388,0.0666668493228542,115.0799317048387,83.91041991818331,56.795447630677195,0.0666668485564638,0.0666668520421045,GD,2016-01
GamePlay,0.06666683311981675,902.982623557947,0.0666667925050054,0.06666679942095856,0.06666680457325544,0.06666679273754113,119741.52728694856,0.0666667974257194,0.06666682774016106,0.0666667907606579,0.06666680834744275,103062.23919790129,482.5071766723275,0.06666681893757462,4956.077046781922,GamePlay,2016-01
HLearn,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,HLearn,2016-01
KomodoEdit,0.06666681191613781,0.0666668472674003,256034.194005674,40288.933192319375,7258.197461060081,17957.226066304098,63763.11626087471,2782.395314327429,9663.21662035068,18112.385584948275,62.517907392398044,0.0666668277520329,0.06666681192501875,122333.48425219207,0.06666684274336065,KomodoEdit,2016-01
Leaflet,15558.160031896688,0.06666682697590107,10029.3741298354,0.0666668370493526,1576.2829114889469,0.06666684257303011,0.0666668237354371,0.06666685376029326,0.0666668385678719,0.06666684006613596,0.06666683091609854,1513.8938120087937,221.62244632533665,0.06666684482033236,0.0666668820634242,Leaflet,2016-01
LightTable,0.06666682074201899,0.06666670824811015,83.26760743053815,0.0666668043017866,19.099031276161334,6.550928239397655,13.47216319795545,0.06666683020778565,0.06666683315164879,48.88383782468121,0.06666679356690629,41.70664704264265,0.0666667953305879,9.486450502428852,0.0666669004351628,LightTable,2016-01
MLPNeuralNet,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,MLPNeuralNet,2016-01
ML_for_Hackers,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,ML,2016-01
MonoGame,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,MonoGame,2016-01
