index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
Decider,105.38740949960221,0.10003056096425736,0.10001905297046881,10.017718511721803,257.92894757786667,0.10002292863688175,0.10000369711924714,129.62793563696215,877.3505552775242,3335.2873572540016,Decider,2016-01
GD,0.10002982959548928,125.43429735410541,104.32030210556856,87.47606780046853,0.46578230006768595,32.885937848987126,4741884.83758023,0.10002891631540022,0.10002911591313315,372.2799424737282,GD,2016-01
GamePlay,0.10002954644039032,0.10002444508270744,190904.34773161632,0.100024306985044,0.10002968377958359,15349.48169844562,1431.470383421909,0.1000272436017683,0.10002841013859864,0.10002282417864175,GamePlay,2016-01
HLearn,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,HLearn,2016-01
KomodoEdit,0.1000267971937153,4073.492615726475,551.4111327304704,359462.79908771906,33054.158094666425,0.10002772520180088,0.1000302509368518,55724.07375825712,41607.63505080344,4485.1301751079,KomodoEdit,2016-01
Leaflet,4158.563906857165,15.915354791702566,623.5596472156235,0.10002961690033557,0.10002992549729597,21273.785043394022,0.10001831704961194,102.16156655185127,1048.6143750246174,0.10002829121394229,Leaflet,2016-01
LightTable,0.10002820792917243,0.10002111022901299,53.19610727111399,58.81411131414019,35.33422127508459,0.10002615925935736,0.10000665655478588,5.196022712301241,51.9594215779502,0.1000337153362835,LightTable,2016-01
MLPNeuralNet,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,MLPNeuralNet,2016-01
ML_for_Hackers,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,ML,2016-01
MonoGame,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,MonoGame,2016-01
OpenRA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,OpenRA,2016-01
PredictionIO,89.09641540340661,0.10002544082000403,358.71648853125834,0.10002559965272306,9017.081132334544,0.10002776906659802,0.10001864275169563,27253.19787384249,0.10002389003443622,17433.40796852613,PredictionIO,2016-01
