index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,project,date
Starling-Framework,13144.418201042103,0.02,768.2659773220029,383.3895470932989,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3799.724278764571,1192.8460516379503,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3684.716163344129,0.02,129.63136075124294,77.86575161501263,79.77571785075806,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.9355598684649611,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,113.6513906979366,0.02,Starling,2016-01
Theano,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,766.4936050103919,0.02,0.02,0.02,0.02,0.02,98660.36814735712,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1137.1982475933835,0.02,Theano,2016-01
Torque2D,12.880176122897264,0.02,0.02,0.02,0.02,1.3072640850292503,6.8426181990567665,0.02,0.02,0.02,0.02,6.505357260292206,0.02,0.02,0.02,0.02,0.02,70.21975992419019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,7.929798260121562,0.02,0.02,182508.4550260696,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Torque2D,2016-01
Torque3D,8.004460084258262,0.02,0.02,0.02,0.02,504694.99273395305,568.0724690586188,0.02,0.02,0.3037535772819683,0.02,903.5568706670091,0.02,0.02,498.76907976092383,178.73494722297957,0.02,201.02507496330222,0.02,0.02,15.21184465139449,0.02,0.02,60.128284001987176,140.44246642464634,0.02,126.42542750568174,207.677141664966,0.02,0.02,23349.114123296036,0.02,0.02,0.02,133.09040109696048,0.02,0.02,0.02,0.02,0.02,0.02,0.25202381476278773,186.53889800696808,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Torque3D,2016-01
adarkroom,0.02,0.02,0.02,0.02,248.3904965860654,0.02,0.02,0.02,0.02,15324.802412933688,0.02,0.02,734.762117758194,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,113.22833169197565,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,5.22300518870196,72.38873179616577,0.02,0.02,0.02,522.7987610194995,277.5661430172793,0.02,0.02,0.02,0.02,0.02,0.02,0.02,adarkroom,2016-01
arbor,0.02,0.02,0.02,156.6741235322283,498.83788676154137,0.02,0.02,0.02,0.02,47.53701161560564,0.02,0.02,1464.2368082895487,0.02,0.02,0.02,0.02,735.5245948540651,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,201.43099058856694,0.02,152.10511810904504,30.941883490896664,59.68805784942482,80.30336702204954,0.02,0.02,0.02,0.02,5.193865742117054,0.02,0.02,0.02,52.54989599132776,314.85146013594795,0.02,0.02,0.02,0.02,0.02,82.40493601534384,0.02,arbor,2016-01
atom,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,50185.019999985336,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.020000000000000163,0.02,0.020000000000000445,0.02,0.02,0.02,0.02,0.02,atom,2016-01
brackets,0.02,0.02,0.02,0.02,126.82412048111375,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.742037868409553,0.02,0.02,0.02,0.02,0.02,76.59230176863524,0.02,0.02,0.02,0.02,0.02,69.13169770309008,0.02,0.02,0.02,0.02,0.02,0.02,0.02,33.69340166584995,0.02,213.7269177507863,0.02,5.549877335673761,0.02,0.02,378.13105048700345,0.02,0.02,294412.7235321964,0.02,36.08506260967195,0.02,0.02,0.02,0.02,0.02,brackets,2016-01
brain,0.02,90.38018964503988,0.02,5.119836011833213,26.190228886282167,0.02,0.02,0.02,0.02,20.61428908780124,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,169.13697702102738,46.28479511695787,0.02,0.02,18.335306605863067,0.02,0.02,0.02,0.02,0.02,0.02,28.54468648614305,0.02,0.02,0.02,6.760591457013743,0.02,0.02,0.02,0.02,0.02,0.02,43.833099681831214,0.02,0.02,brain,2016-01
caffe,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.020000000046988403,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,31521.019999992182,0.02,0.02,caffe,2016-01
cakephp,0.02,0.02,0.02,0.02,0.02,0.02,79.42158491415672,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,96939.22322400736,0.02,0.02,0.02,778.6483658127931,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,333.786825230618,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,cakephp,2016-01
cesium,0.02,0.02,0.02,5.291435840786585,154.48267217761662,49.40069453124187,55.19818943856458,0.02,0.02,0.02,0.02,0.17636434757396388,224.07611489289235,0.02,0.02,0.02,0.02,104.7362678989653,96.48252479366455,0.02,0.02,0.02,0.02,0.02,96.16769538302208,0.02,0.02,0.02,0.02,0.02,0.02,0.02,22.529336591306826,0.02,107.70916724642976,0.02,104.23258808256683,0.02,0.02,29.805214777208825,0.02,300538.12449305516,647.7281297268459,0.02,106.50887745041778,0.6902336204376621,0.02,0.02,0.02,0.02,cesium,2016-01
chartist-js,0.02,0.02,4676.884086880074,0.02,551.6335105169923,0.02,0.02,0.02,0.02,0.02,0.02,0.02,40.6258000691656,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,17.912832425943066,0.02,0.02,0.02,18.872607864685015,0.02,1182.2826341452467,0.02,0.02,10.10135481918331,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1471.0227791618145,16.039188346858715,26.825205765279016,0.02,0.02,0.02,0.02,chartist,2016-01
chroma.js,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,5.681099672190644,0.02,8.607549536090378,79.61150505313186,0.02,0.02,0.02,0.02,0.02,91.83327559793254,0.02,0.02,0.02,0.02,0.02,1420.489281736227,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,16.89728840385675,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,chroma.js,2016-01
