index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,project,date
Decider,0.033333333333347225,0.03333333333338738,0.03333333333336897,0.0333333333333582,0.033333333333368464,0.03333333333336353,0.03333333333335124,324.59705282864036,0.033333333333353254,0.03333333333336574,0.03333333333333333,460.3249107496552,0.03333333333335491,0.03333333333333333,0.03333333333333333,0.033333333333378415,0.033333333333345504,0.03333333333336411,70.35426538715045,0.03333333333333333,0.03333333333336626,0.03333333333333333,0.03333333333336984,0.03333333333337322,0.03333333333338066,1065.018500510203,368.1477384628214,0.03333333333336795,0.03333333333337076,23.757532060274638,Decider,2016-01
GD,0.03333333333338853,0.033333333333384924,0.03333333333339309,0.033333333333385236,0.033333333333386526,0.03333333333338802,0.033333333333383126,0.033333333333384535,0.03333333333338743,0.033333333333384424,0.03333333333333333,0.033333333333384355,0.03333333333338564,0.03333333333333333,0.03333333333333334,0.033333333333387984,1404884.0333327248,0.03333333333338676,0.033333333333384216,0.03333333333333369,0.03333333333338633,0.03333333333333333,0.03333333336652513,0.03333333333338714,0.03333333333338571,0.03333333333338716,0.03333333333338505,0.03333333333338874,0.0333333333333875,0.03333333333338608,GD,2016-01
GamePlay,0.03333333333338102,0.03333333333336011,0.03333333333338646,0.03333333333337489,0.03333333333338031,22.705213619916357,182.08384925787388,0.03333333333337596,0.033333333333386325,0.03333333333338417,0.03333333333333333,0.03333333333337023,0.033333333333378526,0.03333333333333333,0.03333333333333334,0.03333333333339078,0.03333333333336465,0.03333333333338211,0.03333333333338139,0.03333333333333354,0.03333333333337537,0.03333333333333333,0.0333333333333868,0.0333333333333789,159.9997535395099,0.03333333333336125,0.033333333333368964,81177.34451688945,0.03333333333337807,0.03333333333337529,GamePlay,2016-01
KomodoEdit,0.03333333333338458,1903.050185785984,0.03333333333338188,0.03333333333338219,0.033333333333387526,998.1626115163264,86.63732728236621,4826.902118305105,0.03333333333338322,4.375985616420424,0.03333333333333333,2390.1864017689704,0.033333333333388206,0.03333333333333333,0.03333333333333334,0.03333333333338747,0.03333333333338847,0.03333333333338447,5448.168955662627,0.033333333333333666,444.16715483518067,0.03333333333333333,0.03333333333338791,6307.715682676976,203653.380205306,0.03333333333338351,0.03333333333338648,0.033333333333386,0.03333333333338491,112.62003780474078,KomodoEdit,2016-01
Leaflet,0.033333333333368055,0.033333333333391675,22.44277583863561,0.0333333333333888,0.03333333333340455,0.03333333333338982,0.03333333333338111,0.033333333333385895,3176.373604251038,146.8806532521134,0.03333333333333333,384.8946857270877,7332.62160848961,0.03333333333333333,0.03333333333333333,0.033333333333386506,0.03333333333341917,1.527080261741553,101.12912151457479,0.03333333333333382,337.88862014523653,0.03333333333333333,0.03333333333338875,67.8602133340692,137.71497051170738,0.03333333333338655,0.03333333333339143,0.033333333333375244,0.03333333333337357,0.03333333333339198,Leaflet,2016-01
LightTable,0.033333333333378075,13.954110058655585,0.03333333333334674,0.0333333333333911,0.033333333333395686,17.671360308888012,0.033333333333396074,0.03333333333339842,0.03333333333336971,0.033333333333393576,0.03333333333333333,24.618737990331354,0.03333333333336853,0.03333333333333333,0.03333333333333333,0.03333333333336276,0.03333333333335161,5.274245339264886,0.03333333333337935,0.03333333333333333,20.148223607184597,0.03333333333333333,0.03333333333335959,0.033333333333377256,5.533322695614841,0.03333333333337949,0.03333333333340091,0.03333333333337412,0.033333333333388955,0.03333333333338242,LightTable,2016-01
MLPNeuralNet,0.03333333333337332,199.74170947133328,0.033333333333345865,0.033333333333404595,76.433297236552,0.03333333333341409,0.03333333333354615,0.03333333333338972,0.03333333333345804,0.033333333333352935,0.03333333333333333,0.03333333333350126,0.03333333333336198,0.03333333333333333,0.03333333333333333,0.033333333333363836,0.033333333333345164,0.033333333333442,30.49066840823726,0.03333333333333333,0.033333333333359284,0.03333333333333333,0.03333333333341026,0.03333333333337499,0.03333333333340921,54.77948501742254,0.033333333333371434,0.033333333333429624,0.033333333333387706,171.7215065327398,MLPNeuralNet,2016-01
ML_for_Hackers,96.29817960823274,0.03333333333337581,0.033333333333378554,82.5094608438841,77.25431444934442,0.03333333333338113,0.03333333333339363,410.59696806068087,0.03333333333338062,0.03333333333335919,0.03333333333333333,0.033333333333373065,0.03333333333338444,0.03333333333333333,0.03333333333333333,0.03333333333337607,0.03333333333334519,29.72069778092047,0.033333333333373814,0.03333333333333333,0.0333333333333864,0.03333333333333333,0.03333333333335144,0.03333333333337341,0.033333333333379726,1521.5132046542826,111.56750792542458,0.03333333333337908,0.03333333333337422,256.80633334254446,ML,2016-01
MonoGame,139243.94677627075,0.03333333333337601,0.03333333333336501,0.03333333333338507,1005.6211014793216,420.87035179756134,12.87927383813425,0.033333333333383224,0.033333333333382245,3479.4189171410003,0.03333333333333333,0.03333333333337383,0.033333333333384105,0.03333333333333333,0.03333333333333333,0.03333333333336977,0.033333333333407426,270.7858259669556,59.95808141505689,0.03333333333333376,0.033333333333382585,0.03333333333333333,0.03333333333336852,10137.22225932186,29.597412696969805,0.03333333333337665,0.03333333333338308,0.033333333333383605,0.03333333333337535,0.03333333333338314,MonoGame,2016-01
OpenRA,1259.4902584511456,0.03333333333337691,0.033333333333376076,0.03333333333338264,0.03333333333337953,0.03333333333338281,0.03333333333338325,0.03333333333338194,0.03333333333338227,88229.16084595151,0.03333333333333333,0.0333333333333714,0.03333333333338188,0.03333333333333333,0.03333333333333334,156.98247207871486,0.03333333333337676,0.033333333333382086,0.033333333333386915,0.03333333333333363,0.03333333333338081,0.03333333333333333,115.49975681894335,0.03333333333338473,0.033333333333382204,0.03333333333338012,0.03333333333338631,0.03333333333338878,0.03333333333338455,0.033333333333379206,OpenRA,2016-01
