,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
sinatra-tags_2008-01,0.100012292819669,0.10000000164569578,0.10000085440499537,0.10000307481895908,0.10002791173820545,0.10000308173197636,0.10000265159203166,0.10000000178299985,0.10000614082583997,611.099943988423,sinatra,2008-01
sinatra-tags_2008-06,0.10001316986082252,0.10000000492858734,0.10000658240729697,0.10001239580710071,32.530906104727954,0.10000662178908991,0.1000148396360542,0.10000000502347972,0.10002321011388293,935.6690170646812,sinatra,2008-06
sinatra-tags_2015-01,0.10000284326494148,0.10000000122953127,0.1000014004355234,0.10000183650446279,0.10001689252161455,0.10001220075345998,0.10000254455695755,0.10000000121761003,0.10000683375011266,1817.0999554453144,sinatra,2015-01
sinatra-tags_2015-06,0.10000275669425472,0.10000000118604158,0.10000131068525751,0.10000177524283192,0.10001409907015259,0.1000118708391658,0.10000247224911589,0.10000000117552156,0.10000661514776232,1867.0999590972626,sinatra,2015-06
sinatra-tags_2010-01,0.100001963416555,0.10000000136279844,0.10000060680599597,0.10000242729167604,0.10001343213468647,0.10000145957017895,0.10000293697605132,0.10000000141995567,0.10000336904714602,911.0999738017063,sinatra,2010-01
sinatra-tags_2011-01,0.10000136704309347,0.100000000930463,0.10000064841593416,0.10000202461952166,0.10001103435107321,0.10000096703086979,0.10000193806263143,0.10000000097938377,0.10000277929428847,1173.0999792390385,sinatra,2011-01
sinatra-tags_2013-01,0.10000278777694989,0.1000000010095895,0.10000086010978196,0.10000152626985581,0.10001118747439391,0.10001293701125413,0.1000019145638483,0.10000000102649856,0.10000407626246857,1609.0999647081633,sinatra,2013-01
flask-tags_2014-06,0.10001306295367769,0.10000000780647797,0.10001328175522926,0.10002856925084984,30.93097738289718,8.91156117125882,262.71616674564126,0.10000000770178565,2372.841223270011,0.10001649634957185,flask,2014-06
flask-tags_2012-01,0.1000132584212361,0.10000000816308549,0.10000683784459954,0.10002967836398834,0.10003015542210784,0.10001085372169848,135.9934774660897,0.10000000829991577,1785.2064136275312,0.1000181027999614,flask,2012-01
flask-tags_2016-01,0.1000248861913158,0.1000000608804414,7.917991458233982,0.10002924808738577,46.09331716814284,0.10002392898305046,293.0938700444138,0.10000000748487967,2457.2947251885994,0.10001800454355256,flask,2016-01
flask-tags_2013-06,0.10001195734665917,0.10000000781864858,0.10000949462195645,0.10002909115674857,0.10003139492391068,0.10001023630656768,192.36843897418487,0.10000000788813228,2184.8314527426796,0.10001608913259122,flask,2013-06
flask-tags_2014-01,0.10001411654989288,0.10000000782571274,0.10001042450149086,0.10002836658300436,0.10003054437188935,15.091945877705411,229.46473415417753,0.10000000788128258,2224.7432211487935,0.10001534753472632,flask,2014-01
flask-tags_2010-06,0.10001034459493269,0.10000000654697347,0.10000910530146401,46.46218019889434,4.160792259896275,0.10000854983576929,0.10002844968340725,0.10000000667813075,1297.676959547951,0.10001152874004074,flask,2010-06
flask-tags_2011-06,0.10001787162948285,0.10000000854223881,0.10000821609322672,24.857886212009994,0.10004009761286722,0.10000922369619565,40.162555203770765,0.10000000875503795,1218.2794623690806,0.10002078649065173,flask,2011-06
flask-tags_2012-06,0.10001253581242121,0.10000000807955785,0.10000657599403744,0.10002952083718332,0.10002818254502245,0.10001061093331239,139.41647045609585,0.10000000820533476,1971.7834245840334,0.10001751382227421,flask,2012-06
flask-tags_2015-01,0.1000148958366489,0.10000000903901764,0.10001345104918771,0.10002926758765436,46.76559899994314,0.10002153532987171,245.9640644558457,0.10000000744557616,2359.570242491874,0.10001488186280315,flask,2015-01
flask-tags_2015-06,0.10002558493222363,0.10000000893717598,0.10001275080761793,0.10002931091631743,48.99736415446521,0.10002101871367938,283.91766736046833,0.10000000751696134,2403.3848614257995,0.10001837308422219,flask,2015-06
flask-tags_2011-01,0.10001974400343545,0.10000000855682817,0.10000877022195989,56.46028720089518,3.0924097903769527,0.10000985215596118,0.10002933895806698,0.10000000862220058,1161.747219712547,0.10001557145591426,flask,2011-01
flask-tags_2013-01,0.10001270415133859,0.10000000781163502,0.10001018057144406,0.10002976229189608,0.10003305595043764,0.10001091116432902,162.18404343974436,0.10000000788168147,2101.0158429848384,0.10001694185694728,flask,2013-01
CodeIgniter-tags_2014-06,0.10001003746377088,0.10000000403998105,0.10001434679118572,0.10000672857328381,0.10001142671447483,13172.099926187344,0.1000109444360984,0.10000000231435244,0.10000975347552736,0.10001056267574497,CodeIgniter,2014-06
CodeIgniter-tags_2012-01,0.10000814507366482,0.10000000363279701,0.10001156803237347,0.10000611095607312,0.10000586167141895,8800.09994348231,0.1000104664071091,0.10000000187108574,0.10000618223250803,0.10000817436630455,CodeIgniter,2012-01
CodeIgniter-tags_2016-01,0.10001073682634351,0.10000000332549953,0.10001030870756268,0.10000529107288095,0.10001062693892021,17413.099934593094,0.1000063597089075,0.10000000228832201,0.1000120963425404,0.10000997351657732,CodeIgniter,2016-01
CodeIgniter-tags_2013-06,0.10000966500468021,0.10000000341917328,0.10000966405739414,0.10000425232063999,0.10001040729294568,11774.099941301996,0.10000499366080388,0.10000000211832252,0.1000085222995419,0.10001118278345038,CodeIgniter,2013-06
CodeIgniter-tags_2014-01,0.1000096271737299,0.10000000340843675,0.10000969342616187,0.10000439827365368,0.10001044626709286,11866.099938594354,0.10000507357154165,0.10000000211417374,0.10000816807569692,0.10001398825924591,CodeIgniter,2014-01
CodeIgniter-tags_2010-06,0.10000552189720592,0.10000000320659458,0.10000965117182592,0.1000033275184498,0.10000505822053037,6784.099954481207,0.10000302893450085,0.10000000191892183,0.10000619424522643,0.10001272888666714,CodeIgniter,2010-06
CodeIgniter-tags_2009-06,0.10000562312666296,0.10000000344298633,0.10000896404467918,0.10000314440038433,0.1000054525161291,6945.099953745857,0.10000305306485616,0.10000000199154624,0.10000607013550848,0.10001393845998222,CodeIgniter,2009-06
CodeIgniter-tags_2009-01,0.10000543779176907,0.10000000351335112,0.10000917973955227,0.10000319590657504,0.10000544796178314,6716.099955500808,0.10000310389790636,0.1000000020154752,0.10000613216497135,0.10001199330120873,CodeIgniter,2009-01
CodeIgniter-tags_2011-06,0.1000055761624917,0.10000000312536453,0.10000860575972663,0.10000323838959216,0.10000532096548506,7031.099956308226,0.10000326070450158,0.10000000189841972,0.10000710559277512,0.100010576318541,CodeIgniter,2011-06
CodeIgniter-tags_2012-06,0.10000777612831259,0.10000000446650714,0.10001553851531081,0.10000709641821146,0.10000814374066799,10050.099933549103,0.1000109871199186,0.10000000221415935,0.10000786836783958,0.10000902923316778,CodeIgniter,2012-06
CodeIgniter-tags_2008-01,0.10000559934467675,0.10000000409699324,0.10000877349746067,0.10000491389468893,0.10000681241198636,5768.099953191265,0.10000536552949744,0.1000000024081028,0.10000737322208643,0.10000796132984961,CodeIgniter,2008-01
CodeIgniter-tags_2007-06,0.10000561151501694,0.10000000417999598,0.10000887588609272,0.10000471514034433,0.1000069515474706,5501.0999540054545,0.10000505445520809,0.10000000241772342,0.1000070629719101,0.1000077135934436,CodeIgniter,2007-06
CodeIgniter-tags_2008-06,0.10001098481706826,0.10000000441309541,0.10001032740712323,0.10000547041534064,0.10000823370128736,6493.09990940799,0.10000584996876141,0.10000000290094545,0.10001934392785047,0.10003037046218033,CodeIgniter,2008-06
CodeIgniter-tags_2015-01,0.10000730447058191,0.10000000267095445,0.10000878618110044,0.10000380307772237,0.10000825443619227,17876.09995127875,0.10000471286100049,0.10000000176302946,0.10000768037554422,0.1000081689852342,CodeIgniter,2015-01
CodeIgniter-tags_2015-06,0.10000966923028924,0.1000000031071896,0.10000977169970073,0.10000448238319126,0.10000969853760776,17348.099941890032,0.10000569780345352,0.10000000206299459,0.10000901297075204,0.10000976485918012,CodeIgniter,2015-06
CodeIgniter-tags_2007-01,0.10000580058370766,0.10000000432622828,0.1000090713076767,0.10000490319912991,0.10000720827065532,5297.099952471481,0.10000525321776595,0.10000000249989208,0.10000731911720298,0.10000796315925613,CodeIgniter,2007-01
CodeIgniter-tags_2010-01,0.10000555485511896,0.10000000342647554,0.1000089047670039,0.1000031271178482,0.10000542564542812,6985.099953977529,0.1000030607866762,0.10000000198275714,0.10000604669569024,0.1000138942275433,CodeIgniter,2010-01
